Membre de SDC,Catégorie,Château / Entreprise,Apparaît dans la bible ? ,type de vins princiapl,Statut de la demande,Pôle concerné,mail,Téléphone,Prénom,Nom,Région,Mail,Poste,Nombre de bouteilles,Logistique,Suivi des étapes,Contexte de la demande/commentaires,Région/Appellation,Aspect RSE,Possible de démarcher à nouveau ?,"Si oui, quel type ?"
,Démarchage en nature,Domaine François Lamarche,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine A.F. Gros,,,"Contacté, refus",,contact@af-gros.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Robert Arnoux,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Jean-Marc Millot,,,"Contacté, sans réponse",,,,https://jean-marc-millot.com/contact,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Henri Gouges,,,"Contacté, sans réponse",,domaine@gouges.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine de l’Arlot,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Chevillon-Chezeaux,,,"Contacté, sans réponse",,chevillon.chezeaux@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Robert Chevillon,,,"Contacté, sans réponse",,detb@domainerobertchevillon.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Montille,,,"Contacté, sans réponse",,contact@demontille.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Patrice Rion,,,"Contacté, sans réponse",,contact@patricerion.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Jean-Jacques Confuron,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Chicotot,,,"Contacté, sans réponse",,chicotot@aol.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Tollot-Beaut,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Chantal Lescure,,,Non contacté,,,,https://www.domainelescure.fr/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de l'Hortus,,,"Contacté, sans réponse",,contact@domaine-hortus.fr,,,,,,,,,,,,,,
,Démarchage en nature,Château de Lascaux,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Mas Bruguière,,,"Contacté, sans réponse",,xavier.bruguiere@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château La Roque,,,"Contacté, sans réponse",,"contact@chateau-laroque.fr, n.romanchenko@chateau-laroque.fr",,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Clavel,,,"Contacté, sans réponse",,info@vins-clavel.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Mortiès,,,"Contacté, sans réponse",,contact@morties.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Cazeneuve,,,"Contacté, sans réponse",,chateaudecazeneuve@orange.fr,,,,,,,,,,,,,,
,Démarchage en nature,Mas de la Séranne,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Saint Daumary,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos Marie,,,"Contacté, sans réponse",,,,https://www.closmarie.com/contact,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de l'Aiguelière,,,"Contacté, sans réponse",,contact@aigueliere.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Puech-Haut,,,"Contacté, sans réponse",,contact@puech-haut.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Haut-Lirou,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Mas Gourdou,,,"Contacté, sans réponse",,contact@masgourdou.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château de Montferrand,,,"Contacté, sans réponse",,,,https://chateaudemontferrand.fr/contact.html,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Les Grandes Costes,,,"Contacté, sans réponse",,contact@grandes-costes.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Foulaquier,,,"Contacté, sans réponse",,,,https://boutique.masfoulaquier.fr/pages/contact,,,,,,,,,,,,
,Démarchage en nature,Domaine Saint André de Figuière,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Mas d'Agalis,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine des Conquêtes,,,"Contacté, sans réponse",,,,https://www.domainedesconquetes.fr/content/10-contact,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Mas des Chimères,,,"Contacté, sans réponse",,contact@masdeschimeres.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Saumarez,,,"Contacté, sans réponse",,,,https://www.domainedesaumarez.com/contact/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de l'Oustal Blanc,,,"Contacté, sans réponse",,contact@loustalblanc.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine de Fons Sanatis,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine du Mas de Rey,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine de Cassagnau,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine des Carabiniers,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Mas d'Agamas,,,"Contacté, sans réponse",,c.visseq@sfr.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Mas de la Plaine Haute,,,"Contacté, sans réponse",,contact@plaine-haute.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Mas de la Devèze,,,"Contacté, sans réponse",,contact@masdeladeveze.fr,,,,,,,,,,,,,,
,Démarchage en nature,Domaine des Terres Dorées,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Ruet,,,"Contacté, sans réponse",,contact@ruet-beaujolais.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château de Nervers,,,"Contacté, sans réponse",,contact@chateaudenervers.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Dubost,,,"Contacté, sans réponse",,contact@domainedubost.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château de Pierreux,,,"Contacté, sans réponse",,contact@chateaudepierreux.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine des Combiers,,,"Contacté, sans réponse",,savoyelaurent@gmail.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine Gérard Brisson,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Plaigne,,,"Contacté, sans réponse",,contact@domainedelaplaigne.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Bel-Air,,,"Contacté, sans réponse",,jean-louis.loup@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Baron de l'Ecluse,,,"Contacté, sans réponse",,baron.delecluse2@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Saint-Cyr,,,"Contacté, sans réponse",,email@beaujolais-saintcyr.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Bulliat,,,"Contacté, sans réponse",,eric.bulliat@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Colette,,,"Contacté, sans réponse",,domainedecolette@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Nicolas Boudeau,,,"Contacté, sans réponse",,contact@nicolas-boudeau.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine de la Voûte des Crozes,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Roche Guillon,,,"Contacté, sans réponse",,roche-guillon.coperet@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Cheysson,,,"Contacté, sans réponse",,domainecheysson@orange.fr,,,,,,,,,,,,,,
,Démarchage en nature,Château de la Terrière,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine les Roches Bleue,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine des Frères Perroud,,,"Contacté, sans réponse",,,,https://www.freres-perroud.com/contact.php,,,,,,,,,,,,
,Démarchage en nature,Domaine Paul Janin et Fils,,,Non contacté,,,,,,,,,,,,,,,,
,Démarchage en nature,Domaine de La Poyebade,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Coperet,,,mauvais mail,,contact@domainegillescoperet.com,,,,,,,,,,,,,,
,Démarchage en nature,Domaine du Vissoux,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Briante,,,"Contacté, sans réponse",,contact@domainedebriante.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Crêt des Garanches,,,"Contacté, sans réponse",,,,https://cretdesgaranches.fr/le-domaine/contact,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Jean-Marc Burgaud,,,"Contacté, sans réponse",,contact@jean-marc-burgaud.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Combe au Loup,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine des Pins,,,"Contacté, sans réponse",,jdesonis@domainedespins.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Grand'Cour,,,"Contacté, sans réponse",,contact@familledutraive.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Champier,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine La Bastide Blanche,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Pradeaux ,,,Non contacté,,secretariat@chateaupradeaux.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Ott,,,Non contacté,,bernhard@ott.at,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Gros'Noré,,,Non contacté,,domaine@gros-nore.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Bégude,,,Non contacté,,reservation@domainedelabegude.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Ray-Jane,,,Non contacté,,domaine@ray-jane.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Bunan - Moulin des Costes,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Vannières,,,Non contacté,,info@vannieres.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Tour du Bon,,,"Contacté, sans réponse",,,,https://www.tourdubon.com/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Souviou,,,Non contacté,,contact@souviou.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Sainte Anne,,,mauvais mail,,ca chelou un peu,,https://www.chateausainteanne.fr/adamas/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Frégate,,,Non contacté,,accueil@domainedefregate.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine La Suffrène,,,Non contacté,,commercial@suffrene.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Lafran-Veyrolles,,,Non contacté,,contact@lafran-veyrolles.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Dupuy de Lôme,,,"Contacté, sans réponse",,,,https://dupuydelome.com/contact-acces/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Garenne,,,"Contacté, sans réponse",,,,https://www.domainedelagarenne.net/contact.html,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Font des Pères,,,"Contacté, sans réponse",,,,https://shop.lafontdesperes.com/fr/nous-contacter,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de Cagueloup,,,"Contacté, sans réponse",,domainedecagueloup@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de l'Olivette,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Le Galantin,,,"Contacté, sans réponse",,domainelegalantin@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château de la Noblesse,,,"Contacté, sans réponse",,chateau.noblesse@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Saint Louis,,,"Contacté, sans réponse",,benoit@chateausaintlouis.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine des Baguiers,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Maubernard,,,"Contacté, sans réponse",,info@maubernard.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de L'Estagnol,,,"Contacté, sans réponse",,contact@domainedelestagnol.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Les Luquettes,,,"Contacté, sans réponse",,domainelesluquettes@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Vivonne,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Baratonne,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Sainte Marie des Crozes,,,"Contacté, sans réponse",,d.alias11@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Roche Buissière,,,"Contacté, sans réponse",,,,http://www.larochebuissiere.fr/page_contact.html,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine du Clos Naudin – Foreau,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine François et Julien Pinon,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Vincent Carême,,,"Contacté, sans réponse",,,,https://vincentcareme.fr/contact/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Le Capitaine,,,"Contacté, sans réponse",,contact@domainelecapitaine.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Marc Brédif,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine du Viking,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Rouletière,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Croix des Vainqueurs,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Grand Taille,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Allias,,,"Contacté, sans réponse",,domaine-allias@outlook.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Christophe Gaudron,,,"Contacté, sans réponse",,contact@christophegaudron.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine des Bergeons,,,"Contacté, sans réponse",,,,https://domainedesbergeons.fr/index.php?page=MnuContact,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine des Cormiers Roux,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Freslier,,,"Contacté, sans réponse",,jean-pierre@domainefreslier.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Maison Darragon,,,"Contacté, sans réponse",,,,https://www.maisondarragon.com/contact-vouvray-maison-darragon/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Maison Peltier,,,"Contacté, sans réponse",,contact@maisonpeltier.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Morvan,,,"Contacté, sans réponse",,morvan.vinsdevouvray@hotmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Pierre Champion,,,"Contacté, sans réponse",,,,https://www.pierre-champion-vouvray.fr/contact.html,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Vigneau-Chevreau,,,Validé,,contact@vigneau-chevreau.com,,,6 bouteilles de fines bulles historique Pétillant Brut ,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Yvon et Pascal Tabordet,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Fontainerie,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Poultière,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Roche Moreau,,,"Contacté, sans réponse",,davy.larochemoreau@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Tuffière,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Vallée Coquette,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Vinçonnière,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Voûte,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de l'Épinay,,,Non contacté,,,,https://www.domainedelepinay.com/contact/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de l'Hermitage,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Philippe Brisebarre,,,"Contacté, sans réponse",,vignoble@brisebarre.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine des Aubuisières,,,"Contacté, sans réponse",,info@famillelebrumare.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine du Margalleau,,,"Contacté, sans réponse",,earl.pieaux@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Pichot,,,"Contacté, sans réponse",,contact@domaine-pichot.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de l'Aumônerie,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Durandière,,,"Contacté, sans réponse",,,,https://www.chateaudeladurandiere.fr/contact/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Perruche,,,"Contacté, sans réponse",,tourisme@domainedelaperruche.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine du Petit Val,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine de la Noblaie,,,"Contacté, sans réponse",,contact@lanoblaie.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Voarick,,,"Contacté, sans réponse",,domaine@michelvoarick.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château des Matards-Domaine de la Margotterie,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château les Bertrands,,,"Contacté, sans réponse",,chateau.les.bertrands@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Mondésir Gazin,,,"Contacté, sans réponse",,mondesirgazin@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Icla,,,"Contacté, sans réponse",,contact@chateau-icla.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Vieux Mougnac,,,"Contacté, sans réponse",,contact@vieuxmougnac.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Brethous,,,"Contacté, sans réponse",,chateaubrethous@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château des Cèdres,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château la Bertrande,,,"Contacté, sans réponse",,chateaulabertrande@hotmail.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Bellevue,,,"Contacté, sans réponse",,contact@chateaubellevue.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Vignobles Michel Bergey,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Brulesécaille,,,"Contacté, sans réponse",,contact@brulesecaille.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Chateau Martinat,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Lalande Labatut,,,"Contacté, sans réponse",,info@lalande-labatut.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Tour de Calens - Château Saint-Ange,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Carbon d'Artigues et Château la Passonne,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château de la Gravelière,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château de Porte Pères,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Pont de Brion,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Sirio,,,"Contacté, sans réponse",,contact@chateausirio.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Gûnes,,,"Contacté, sans réponse",,,,https://www.chateau-gunes.fr/fr/contact/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Altimar - Château Haut Chatain,,,"Contacté, sans réponse",,contact@chateau-altimar.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Belles-Graves,,,"Contacté, sans réponse",,x.piton@belles-graves.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Bourseau,,,"Contacté, sans réponse",,contact@vignoblesgaboriaud.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Haut-Goujon,,,"Contacté, sans réponse",,contact@chateauhautgoujon.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine du Grand Ormeau,,,"Contacté, sans réponse",,domainegrandormeau@gmail.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château du Cros,,,"Contacté, sans réponse",,info@chateauducros.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Haut Breton Larigaudière,,,"Contacté, sans réponse",,visites@chateau-hbl.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château le Coteau,,,"Contacté, sans réponse",,,,https://chateaulecoteau.com/contact/,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Haut Mousseau - Château Pontac Gadet,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château l'Inclassable,,,"Contacté, sans réponse",,remy.fauchey@orange.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château la Gorce,,,"Contacté, sans réponse",,info@chateaulagorce.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Noaillac,,,"Contacté, sans réponse",,noaillac@noaillac.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Dutruch Grand Poujeaux,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Domaine Jean-Christophe Coubris,,,"Contacté, sans réponse",,contact@domainejccoubris.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château la Fon du Berger,,,"Contacté, sans réponse",,contact@vignoblesbouges.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château de France,,,"Contacté, refus",,contact@chateau-de-france.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Lafargue Familles Leymarie et Peyrout,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château les grands Sillons - Château Côtes de Bonde,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Vignobles Garzaro,,,"Contacté, sans réponse",,contact@vignoblesgarzaro.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Vignobles Mouty Daniel,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Clarisse,,,"Contacté, sans réponse",,contact@chateau-clarisse.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Vignobles Poitou-Operie,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Vignobles Mallard,,,"Contacté, sans réponse",,contact@laurent-mallard.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Clos Saint Emilion Philippe,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Devillaire,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château la Grace Fonrazade,,,"Contacté, sans réponse",,persevero@lagracefonrazade.com,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château la Renomée Maine Reynaud,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Lagarde Bellevue - Chevalier des Anges,,,"Contacté, sans réponse",,,,https://lagarde-bellevue.com/contact-sovifa.html,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château les Gravières,,,Non contacté,,denis.barraud@wanadoo.fr,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Milon - Clos de la Cure,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Moulin Bellegrave - Famille Mabileau,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Château Tour Grand Faure,,,Non contacté,,,,,,,,,,,,,,,,
Marin/ Quentin/Marine,Démarchage en nature,Clos des Abbesses,,,"Contacté, sans réponse",,clos.des.abbesses@gmail.com,,,,,,,,,,,,,,
