Membre de SDC,Catégorie,Château / Entreprise,Statut de la demande,Pôle concerné,Prénom,Nom,Région,Mail,Poste,Téléphone ,Nombre de bouteilles,Logistique,Suivi des étapes,Contexte de la demande/commentaires,Région/Appellation,Aspect RSE,Possible de démarcher à nouveau ? ,"Si oui, quel type ? "
Antoine/Cédric,Démarchage en nature,Chateau Tour Saint Honoré,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Lafite-Rothschild,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château La Tour,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Margaux,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Mouton de Rothschild,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Brane-Cantenac,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Cos-d'Estournel ,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Ducru-Beaucaillou,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Kirvan,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Lascombes,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Léoville-Poyferré,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Montrose,Validé,Défi de Bacchus,,,,,,,2,Récupérées par Allan,2 bouteilles de La Dame de Montrose 2018,,,,,
Antoine/Cédric,Démarchage en nature,Château Pichon-Longueville Baron de Pichon,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Pichon-Longueville Comtesse de Lalande,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Rauzan-Ségla,Validé,Défi de Bacchus,,,,,,,1,Récupérées par Allan,1 bouteilles 2019,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Stéphane Ogier,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Niero,Validé,Défi de Bacchus,,,,,,,,Récupérées par Allan,Condrieu les Ravines 2022,,,,,
Antoine/Cédric,Démarchage en nature,Domaine de la Croix,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Bott- Geyl,Validé,Défi de Bacchus,,,,,,,1,Récupérées par Allan,1 bouteille,,,,Non,
Antoine/Cédric,Démarchage en nature,MDCV Châteaux et Vignobles en Provence,Validé,Défi de Bacchus,,,,,,,12,Récupérées par Allan,12 bouteilles,,,,Oui,
Antoine/Cédric,Démarchage en nature,Vitteaut-Alberti,Validé,Défi de Bacchus,,,,,,,6,A récup,6 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Kirrenbourg,Validé,Défi de Bacchus,,,,,,,1,Récupérées par Allan,1 bouteille,,,,Non,
Antoine/Cédric,Démarchage en nature,Domaine Trimbach,Validé,Défi de Bacchus,,,,,,,1,Récupérées par Allan,1 bouteille,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Pibarnon,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Cantelauze,Validé,Défi de Bacchus,,,,,,,6,Récupérées par Allan,6 bouteilles,,,,Non,
Antoine/Cédric,Démarchage en nature,Clos Triguedina,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,domaine Castera,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Fabre en Provence (Château de l'Aumérade),"Contacté, en discussions",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE ZIND-HUMBRECHT,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Tempier,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Les Vignes du Maynes,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,Non,
Antoine/Cédric,Démarchage en nature,Château les Mesclances,Validé,Défi de Bacchus,,,,,,,12,Récupérées par Allan,12 bouteilles,,,,Oui,
Antoine/Cédric,Démarchage en nature,Château la Gaffelière,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Montbourgeau,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Mater&Filii,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Famille Ravoire,Validé,Défi de Bacchus,,,,,,,6,Récupérées par Allan,6 bouteilles,,,,Non,
Antoine/Cédric,Démarchage en nature,Château Sainte Roseline,Validé,Défi de Bacchus,,,,,,,1,Récupérées par Allan,1 bouteille,,,,Non,
Antoine/Cédric,Démarchage en nature,Face B,Validé,Défi de Bacchus,,,,,,,6,Récupérées par Allan,6 bouteilles,,,,Oui,
Antoine/Cédric,Démarchage en nature,Domaine Calmel & Joseph,Validé,Défi de Bacchus,,,,,,,3,Récupérées par Allan,3 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Domaine La Perdrix,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Madeloc,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Doyard Mahé,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Eugénie,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château de Meursault,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Elian Da Ros,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Chateau Haut Bernasse,Validé,Défi de Bacchus,,,,,,,6,Récupérées par Allan,6 bouteilles,,,,Oui,
Antoine/Cédric,Démarchage en nature,Francois d'allaines,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château de la Dauphine,Validé,Défi de Bacchus,,,,,,,7,Récupérées par Allan,6+1 Magnum,,,,,
Antoine/Cédric,Démarchage en nature,Château Lafleur,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Bacardi Martini,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Guillaume Gilles,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Chapuy,Validé,Défi de Bacchus,,,,,,,1,Récupérées par Allan,1 bouteille,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Denuzière,Validé,Défi de Bacchus,,,,,,,2,Récupérées par Allan,2 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Yveline PRAT - Champagne Georges de la Chapelle,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine de Prapin,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Bouchard,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature, Champagne Le Brun de Neuville,Validé,Défi de Bacchus,,,,,,,6,,6 bouteilles,,,,Non,
Antoine/Cédric,Démarchage en nature,Alain Voge,Validé,Défi de Bacchus,,,,,,,2,Récupérées par Allan,2 bouteilles,,,,Non,
Antoine/Cédric,Démarchage en nature,Domaine de Longue Toque,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Barbeyrolles,Validé,Défi de Bacchus,,,,,,,3,Récupérées par Allan,3 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Lou Capelan,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Tabourin,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine de Monteillet,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Pascal Aufranc,Validé,Défi de Bacchus,,,,,,,3,Récupérées par Allan,3 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Château Trotanoy,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château Haut-Marbuzet,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Château d'astros,Validé,Défi de Bacchus,,,,,,,12,Récupérées par Allan,12 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Château Tour Saint Honoré,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine d'Aupilhac,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Bunan,Validé,Défi de Bacchus,,,,,,,2,Récupérées par Allan,2 bouteilles,,,,Non,
Antoine/Cédric,Démarchage en nature,Minuty,Validé,Défi de Bacchus,,,,,,,12,Récupérées par Allan,12 bouteilles,,,,Oui,
Antoine/Cédric,Démarchage en nature,Domaine La Tourraque,Validé,Défi de Bacchus,,,,,,,2,Récupérées par Allan,2 bouteilles,,,,Non,
Antoine/Cédric,Démarchage en nature,Bianca Vigna,Validé,Défi de Bacchus,,,,,,,3,Récupérées par Allan,3 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Vincent Perseval,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine La Suffrene,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Chaumont,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Barbier Roze,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Berjot fils,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Lefevre Beuzart,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Andre Tixier,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Gerard Gabriot,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Alain Bergere ,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Velut,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Bigard,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Burlot Nahe,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Michel Decotte,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Alain Vesselle,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Tange Gérard,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Preaut,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Eric Leger,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Patrick Boivin,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Clos de la Chapelle ,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Prevoteau,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Barnaut,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Blin,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Pehu Guiardel et Fils,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Charbaux Frères,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Hostomme,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Chaumont,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Coquard bour,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Sourdet,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Pernet le Brun,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Pascal Lejeune,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Billette,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Charton Guillaume,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Raineteau,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Pierre Legras,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Lerglantier Malgras,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,ChampagnenSendrondesTouches,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Marin,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Petitjean Pienne,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Roger Legros,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Charlot,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Malingre Truchot,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Danteny Mangin,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Lionel Carreau,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Jacky Moussy,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Arnaud Moreau,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Luc Mojard,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Mater et Fils,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Barrat Masson,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Lafotinette,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,M. MORITZ BAK,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Huré Frères,Validé,Défi de Bacchus,,,,,,,6,Récupérées par Louise,6 bouteilles,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Benard Pitois,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,CHATEAU DE VALMY,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE PIETRI GERAUD,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Guy Lamoureux,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,SCAV LES VIGNERONS D'ARGELES SUR MER,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Dom Caudron,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,VIGNOBLES DAURÉ,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Lequienet et fils,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE DES CHÊNES,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Tortochot,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,MAS SAUVY,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Etienne Daniel,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,VIGNOBLE RÉVEILLE,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Crayères,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE F.JAUBERT,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Lavillesenière,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,CAVEAU MJG BRIU TOULOUGES,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,COUME DEL MAS,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Tornay,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,MAS DELMAS,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Hervé Csc,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Alphonse Mellot,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Pierrarci,"Contacté, refus",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Patrick Baudoin,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Olga raffault,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE TRILLES,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Guy rémi,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne André Tixier,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE LA CASENOVE,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Froment Griffon,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE DE LA RECTORIE,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne BJ Armand,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,LE SOULA,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Goerg,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE ROUAUD,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Thierry Jacquet,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE DE VÉNUS,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Marteaux,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE DE LA CASA BLANCA,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Vauversin,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,TERRIMBO,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Champagne Sonnette,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE CARLE COURTY,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,Domaine Louis Moreau,Validé,Défi de Bacchus,,,,,,,6,Récupérées par Allan,6 bouteilles,,,,Non,
Antoine/Cédric,Démarchage en nature,EARL AULIUS D'EN GUITER,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE DE LENDEMAIN,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,RAPHAEL COLIN,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,MAISON BRUNO ANDREU,Validé,Défi de Bacchus,,,,,,,6,Récupérées par Allan,6 bouteilles,,,,Oui,
Antoine/Cédric,Démarchage en nature,DOMAINE LAFAGE,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,CAVEAU MJG BRIU CANET,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,GROUPE MDV,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,NSCR,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,SAS RANCY VERDAGUER,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,SARL TRAMONTANE WINES,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,VIGNOBLES BONFILS - CHÂTEAU L'ESPARROU,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,LES TERROIRS ROMANS,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE SANAC,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE COLL DE ROUSSE,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE DU MASCAREIL,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,LE DOMINICAIN,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE CHRISTOPHE MARIN,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,M SÉBASTIEN LAFAGE,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,CLOS SAINT SEBASTIEN,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,VENTS DU SUD,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,JEAN-LOUIS TRIBOULEY,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,SARL DOMAINE PIC JOAN,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,SARL DOMAINE DE L'ARCHITECTE,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE DE CENTERNACH,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,VIGNOBLES DAURE,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE CAZES,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,SICA LES VIGNERONS CATALANS,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,GÉRARD BERTRAND,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,LES VIGNERONS DE MAURY,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE BONZOMS,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,MAS D'EN FELIX,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINE SAINT THOMAS,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,M. JEAN-CLAUDE SAQUE,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
Antoine/Cédric,Démarchage en nature,DOMAINES LORGERIL,"Contacté, sans réponse",Défi de Bacchus,,,,,,,,,,,,,,
